word,surprisal,avg_rt
In,4.57937,350.145625
County,12.6541,296.04294117647055
near,12.2238,348.32750000000004
the,1.98095,306.07588235294116
River,15.709,289.04823529411766
there,11.7415,346.30529411764707
is,2.90521,306.6311764705883
a,2.35382,243.43437500000002
quiet,13.3316,258.03647058823526
little,6.60724,298.0435294117647
suburb,15.866,292.3229411764705
by,8.07692,335.3929411764706
the,2.89443,262.9494117647059
name,10.902,243.0141176470588
of,2.17943,244.76882352941175
which,15.7846,355.2266666666667
means,9.16165,283.43812499999996
of,5.83894,310.26529411764704
none,14.4954,315.60875
of,1.78988,269.1035294117647
the,1.1459,256.2182352941177
residents,15.1267,264.6788235294118
realize,14.82,326.95764705882357
the,7.00778,299.5382352941176
influence,12.7837,268.4082352941177
their,11.4865,296.78470588235297
town,14.1052,296.24176470588236
has,9.00298,361.4358823529411
had,6.59105,266.38058823529406
on,12.8607,256.7835294117646
American,12.1547,285.1605882352941
military,10.5408,348.18470588235294
or,8.48984,348.94562500000006
the,5.36467,260.2647058823529
deeds,18.1069,249.57823529411763
of,2.96339,290.52941176470586
that,7.2376,270.4229411764705
have,6.52668,247.6382352941176
been,2.63539,271.3376470588235
done,9.81912,319.1605882352941
in,3.70415,281.86823529411765
its,6.28193,245.44058823529411
The,2.68215,251.841875
cry,17.7505,274.9164705882353
from,7.06961,356.945294117647
the,1.75654,273.35176470588243
lips,16.9599,265.3017647058824
of,3.96339,253.2241176470588
a,5.0337,247.4129411764706
charging,15.8519,307.3423529411765
was,8.22744,291.2047058823529
the,3.35473,274.834705882353
last,7.72655,243.74
sound,15.661,258.3435294117647
heard,14.4516,250.17647058823525
on,7.98529,288.1482352941177
this,7.34095,274.4364705882353
earth,17.7285,296.5311764705882
by,7.95239,266.50647058823535
untold,17.9163,270.66375
numbers,13.729,324.6235294117647
of,5.32752,311.33882352941174
Sioux,17.3111,441.31666666666666
and,6.68245,318.15312500000005
Mexican,15.7486,330.98937499999994
under,10.466,391.89285714285717
Japanese,13.3111,372.42062500000003
in,10.4552,286.37176470588236
the,2.68569,268.2917647058824
South,8.47582,240.98352941176466
and,5.48786,321.925625
Chinese,13.931,266.2406666666667
and,5.87267,286.3223529411765
North,12.2223,271.784375
Korean,6.71523,282.08764705882356
Communists,17.3873,298.6858823529411
in,6.64327,309.43176470588236
is,6.41849,386.4228571428572
the,4.30241,330.0094117647059
battle,12.4125,300.56
cry,17.485,276.0141176470588
of,6.88793,275.8270588235294
the,3.44768,269.52235294117645
U.S.,10.835,282.47764705882355
Today,10.2125,355.5176470588235
a,7.74385,274.72235294117644
battle,11.1756,331.57374999999996
cry,17.81,303.16647058823526
may,9.87549,291.48823529411766
seem,7.64831,293.77176470588233
an,10.1864,273.805294117647
for,7.74469,369.06857142857143
in,11.1798,347.95411764705887
the,2.42276,304.78187500000007
modern,17.41,307.01352941176475
de,10.6635,405.20411764705887
corps,8.12025,354.0866666666667
has,8.51725,321.2352941176471
been,3.10888,315.78200000000004
to,6.67476,306.2176470588235
organizational,17.6471,340.67812499999997
charts,16.1947,388.8888235294117
and,6.34977,305.53941176470585
But,4.58894,269.36705882352936
tell,13.7979,272.0070588235294
that,7.89413,265.37
to,9.91256,274.9235294117647
a,5.97938,274.1082352941176
veteran,12.5638,255.7223529411765
of,3.23012,275.01882352941175
the,3.44768,236.71823529411762
especially,13.9987,314.7525
in,6.85787,282.74764705882353
a,4.48337,275.9664705882353
on,7.54732,315.30117647058813
Saturday,9.89972,263.350625
Of,9.48448,295.1135294117646
all,6.25566,296.2964705882353
the,1.68939,279.1311764705883
thousands,12.9606,326.94294117647064
of,0.989038,279.2982352941176
men,12.1001,259.27562500000005
who,4.67492,270.32352941176475
have,5.20407,279.40058823529415
served,11.2731,252.84352941176476
in,5.54336,267.59529411764703
the,2.68569,253.78294117647062
perhaps,14.4904,343.6552941176471
no,11.3553,336.9476470588236
one,5.03656,263.09529411764703
knows,12.2012,257.4294117647059
its,9.49998,300.8570588235294
spirit,15.6258,252.79823529411763
better,12.1473,289.1858823529412
than,2.72225,261.22117647058826
C.,15.939,346.05199999999996
and,6.81849,315.15647058823527
with,7.74011,379.3237499999999
steel,12.1379,307.04764705882354
blue,14.9505,302.19199999999995
eyes,6.21132,278.9475
and,3.78909,285.05470588235295
a,5.56924,310.41176470588243
chest,18.3768,266.5735294117647
with,7.28026,336.0841176470588
Chandler,14.9205,411.14
is,7.90062,294.91058823529414
the,4.53636,244.48
of,1.69705,344.6564705882353
the,3.58934,265.625294117647
The,2.68215,268.8488235294118
truth,16.3123,276.8194117647059
that,6.1654,310.70058823529416
when,9.27215,285.2035294117647
Mel,18.3211,251.26823529411766
Chandler,15.0344,293.81
first,12.2401,331.52411764705886
reported,10.7772,278.8552941176471
to,6.40879,293.7223529411765
the,4.68322,281.9152941176471
the,6.6718,271.86117647058825
only,9.85523,291.60588235294114
he,11.7415,340.23266666666666
had,5.1987,320.2841176470588
ever,9.12806,301.9823529411765
was,9.00098,326.65941176470585
a,3.83704,270.39235294117645
chair,15.6134,311.00529411764705
and,5.42282,306.26125
the,4.5622,299.37
only,10.2807,295.0
weapon,16.2606,281.7664705882353
he,10.5315,269.3341176470588
had,5.1987,241.23941176470592
ever,9.12806,274.8264705882353
was,9.00098,272.37000000000006
a,3.83704,271.2535294117647
Chandler,15.5374,283.4723529411765
had,9.47528,324.8241176470588
been,3.18334,267.46352941176474
commissioned,16.0052,342.70125
in,7.26935,319.5841176470588
the,2.68569,254.70823529411769
Medical,15.7046,300.0335294117647
Service,7.38966,293.2188235294117
Corps,8.00778,280.13823529411764
and,6.76455,275.54352941176467
was,8.48828,254.66117647058823
serving,15.5518,275.52764705882356
as,4.34542,247.2435294117647
a,3.23962,248.36058823529413
personnel,15.0441,350.79999999999995
officer,13.9133,316.92352941176466
for,6.36649,275.57176470588234
the,2.94963,273.49999999999994
Kansas,13.8009,289.6329411764705
City,2.42276,281.510625
Medical,15.4734,283.97
Depot,17.4153,297.40176470588233
when,9.93381,328.5641176470587
he,4.13385,298.4852941176471
decided,9.91899,276.803125
that,4.33454,315.54937500000005
if,7.46671,268.0811764705883
he,5.20417,285.79352941176467
was,5.31173,253.43411764705883
going,8.98327,256.40529411764703
to,1.35473,251.55
make,5.94323,245.12176470588233
the,3.98174,264.770625
Army,11.957,280.78125
his,9.65034,265.6335294117647
he,11.7395,320.3458823529412
wanted,7.35505,264.25470588235294
to,0.9939,235.0629411764706
be,6.15069,263.3076470588235
in,6.58681,284.4858823529412
the,3.06679,264.21235294117645
fighting,15.7001,306.8547058823529
part,11.9702,268.9629411764706
of,0.774507,239.14176470588237
Though,9.43342,247.70294117647063
he,5.27946,279.394705882353
knew,10.5236,274.478125
no,11.4726,273.94176470588235
more,5.03656,240.1770588235294
about,9.71759,235.97823529411767
military,13.5416,277.5670588235294
science,15.306,269.0523529411764
and,5.87028,280.48117647058825
tactics,14.82,258.029375
than,10.374,282.47352941176473
any,5.94338,262.97058823529414
other,1.25937,272.6882352941177
desk,15.5099,243.63647058823528
he,11.7415,309.121875
managed,12.229,304.28882352941173
to,1.24849,266.4182352941176
get,7.03624,260.1205882352941
transferred,15.4026,262.30588235294124
to,1.46525,260.08764705882356
the,4.73068,262.7647058823529
combat,16.1425,258.67999999999995
The,2.68215,242.89823529411763
next,9.89292,251.06235294117644
thing,10.6228,254.51058823529414
he,10.8573,258.75294117647064
knew,10.5236,260.62235294117653
he,4.84292,301.47117647058826
was,4.78926,270.334705882353
reporting,11.9459,238.3205882352941
for,7.5836,256.54294117647055
duty,14.5139,272.2170588235295
as,8.35572,245.05235294117648
commanding,17.9862,285.53058823529415
officer,2.57989,284.85
of,2.8577,294.3882352941177
in,6.01697,302.80176470588236
the,3.04098,280.2752941176471
middle,9.29775,256.69823529411764
of,0.334481,265.49176470588236
corps,18.3515,231.44058823529411
maneuvers,17.307,358.100625
in,6.75646,304.7252941176471
Outside,13.1034,275.883125
of,6.96483,304.68823529411765
he,12.006,285.56
have,8.8319,286.88
landed,16.4861,266.57125
in,3.42789,259.6205882352941
a,4.48337,243.45529411764704
tougher,16.2101,302.12941176470594
First,9.2237,272.36875
of,9.84188,259.92
no,14.0792,259.4782352941176
unit,11.4382,256.80823529411765
likes,15.93,265.2658823529412
to,2.66709,246.88647058823534
have,7.30558,259.244375
a,2.94855,272.7505882352941
new,6.81924,238.99
brought,13.9346,270.16400000000004
in,1.42276,353.5892857142858
from,11.3455,291.4511764705882
the,1.47446,260.0188235294118
especially,13.6575,351.46
